Xbee	어레이아이디	x	y	dc path	Serial	Coordi	Index
1	1	1	1	1	0013A20041085C70	1	0
2	1	2	1	1	0013A20041085C70	1	0
3	1	3	1	1	0013A20041085C6A	1	0
4	1	4	1	1	0013A20041085C6A	1	0
5	1	5	1	1	0013A20041085C6D	1	0
6	1	6	1	1	0013A20041085C6D	1	0
7	1	7	1	1	0013A20041085C6C	1	0
8	1	8	1	1	0013A20041085C6C	1	0
9	1	9	1	1	0013A20041085C78	1	0
10	1	10	1	1	0013A20041085C78	1	0
11	1	11	1	1	0013A20041085C62	1	0
12	1	12	1	1	0013A20041085C62	1	0
13	1	13	1	1	0013A20041085C74	1	0
14	1	14	1	1	0013A20041085C74	1	0
15	1	15	1	1	0013A20041085C76	1	0
16	1	16	1	1	0013A20041085C76	1	0
17	1	1	2	1	0013A20041085C79	1	0
18	1	2	2	1	0013A20041085C79	1	0
19	1	3	2	1	0013A20041085C7B	1	0
20	1	4	2	1	0013A20041085C7B	1	0
21	1	5	2	1	0013A20041085C71	1	0
22	1	6	2	1	0013A20041085C71	1	0
23	1	7	2	1	0013A20041085C75	1	0
24	1	8	2	1	0013A20041085C75	1	0
25	1	9	2	1	0013A20041085C6F	1	0
26	1	10	2	1	0013A20041085C6F	1	0
27	1	11	2	1	0013A20041085C6E	1	0
28	1	12	2	1	0013A20041085C6E	1	0
29	1	13	2	1	0013A20041085BEB	1	0
30	1	14	2	1	0013A20041085BEB	1	0
31	1	15	2	1	0013A200415174E0	1	0
32	1	16	2	1	0013A200415174E0	1	0
33	2	1	1	1	0013A200415174E8	1	0
34	2	2	1	1	0013A200415174E8	1	0
35	2	3	1	1	0013A200415174EB	1	0
36	2	4	1	1	0013A200415174EB	1	0
37	2	5	1	1	0013A200415174EA	1	0
38	2	6	1	1	0013A200415174EA	1	0
39	2	7	1	1	0013A200415174E9	1	0
40	2	8	1	1	0013A200415174E9	1	0
41	2	9	1	1	0013A200415174E7	1	0
42	2	10	1	1	0013A200415174E7	1	0
43	2	11	1	1	0013A20041085C6B	1	0
44	2	12	1	1	0013A20041085C6B	1	0
45	2	13	1	1	0013A200415174E6	1	0
46	2	14	1	1	0013A200415174E6	1	0
47	2	15	1	1	0013A200415174DA	1	0
48	2	16	1	1	0013A200415174DA	1	0
49	2	1	2	1	0013A200415174E3	1	0
50	2	2	2	1	0013A200415174E3	1	0
51	2	3	2	1	0013A200415174DD	1	0
52	2	4	2	1	0013A200415174DD	1	0
53	2	5	2	1	0013A200415174D2	1	0
54	2	6	2	1	0013A200415174D2	1	0
55	2	7	2	1	0013A200415174D5	1	0
56	2	8	2	1	0013A200415174D5	1	0
57	2	9	2	1	0013A200415174DF	1	0
58	2	10	2	1	0013A200415174DF	1	0
59	2	11	2	1	0013A200415174DE	1	0
60	2	12	2	1	0013A200415174DE	1	0
61	2	13	2	1	0013A200415174D8	1	0
62	2	14	2	1	0013A200415174D8	1	0
63	2	15	2	1	0013A200415174E2	1	0
64	2	16	2	1	0013A200415174E2	1	0
65	3	1	1	1	0013A200415174D9	1	0
66	3	2	1	1	0013A200415174D9	1	0
67	3	3	1	1	0013A200415174E4	1	0
68	3	4	1	1	0013A200415174E4	1	0
69	3	5	1	1	0013A200415174DC	1	0
70	3	6	1	1	0013A200415174DC	1	0
71	3	7	1	1	0013A200415174DB	1	0
72	3	8	1	1	0013A200415174DB	1	0
73	3	9	1	1	0013A2004151747E	1	0
74	3	10	1	1	0013A2004151747E	1	0
75	3	11	1	1	0013A200415174E1	1	0
76	3	12	1	1	0013A200415174E1	1	0
77	3	13	1	1	0013A200415174D3	1	0
78	3	14	1	1	0013A200415174D3	1	0
79	3	15	1	1	0013A200415174E5	1	0
80	3	16	1	1	0013A200415174E5	1	0
81	3	1	2	1	0013A200415174C5	1	0
82	3	2	2	1	0013A200415174C5	1	0
83	3	3	2	1	0013A200415174CE	1	0
84	3	4	2	1	0013A200415174CE	1	0
85	3	5	2	1	0013A200415174D7	1	0
86	3	6	2	1	0013A200415174D7	1	0
87	3	7	2	1	0013A200415174C3	1	0
88	3	8	2	1	0013A200415174C3	1	0
89	3	9	2	1	0013A200415174CC	1	0
90	3	10	2	1	0013A200415174CC	1	0
91	3	11	2	1	0013A200415174C7	1	0
92	3	12	2	1	0013A200415174C7	1	0
93	3	13	2	1	0013A200415174D6	1	0
94	3	14	2	1	0013A200415174D6	1	0
95	3	15	2	1	0013A200415174D4	1	0
96	3	16	2	1	0013A200415174D4	1	0
97	6	1	1	1	0013A20041085D7A	1	0
98	6	2	1	1	0013A20041085D7A	1	0
99	6	3	1	1	0013A20041085D68	1	0
100	6	4	1	1	0013A20041085D68	1	0
101	6	5	1	1	0013A20041085D76	1	0
102	6	6	1	1	0013A20041085D76	1	0
103	6	7	1	1	0013A20041085D84	1	0
104	6	8	1	1	0013A20041085D84	1	0
105	6	9	1	1	0013A20041085D73	1	0
106	6	10	1	1	0013A20041085D73	1	0
107	6	11	1	1	0013A20041085D85	1	0
108	6	12	1	1	0013A20041085D85	1	0
109	6	13	1	1	0013A20041085B91	1	0
110	6	14	1	1	0013A20041085B91	1	0
111	6	15	1	1	0013A20041085D87	1	0
112	6	16	1	1	0013A20041085D87	1	0
113	6	1	2	1	0013A20041517479	1	0
114	6	2	2	1	0013A20041517479	1	0
115	6	3	2	1	0013A20041085D78	1	0
116	6	4	2	1	0013A20041085D78	1	0
117	6	5	2	1	0013A20041085D75	1	0
118	6	6	2	1	0013A20041085D75	1	0
119	6	7	2	1	0013A20041085D8A	1	0
120	6	8	2	1	0013A20041085D8A	1	0
121	6	9	2	1	0013A20041085D80	1	0
122	6	10	2	1	0013A20041085D80	1	0
123	6	11	2	1	0013A20041085D88	1	0
124	6	12	2	1	0013A20041085D88	1	0
125	6	13	2	1	0013A20041085D74	1	0
126	6	14	2	1	0013A20041085D74	1	0
127	6	15	2	1	0013A20041085D83	1	0
128	6	16	2	1	0013A20041085D83	1	0
129	7	1	1	1	0013A20041085D7C	1	0
130	7	2	1	1	0013A20041085D7C	1	0
131	7	3	1	1	0013A20041085D7B	1	0
132	7	4	1	1	0013A20041085D7B	1	0
133	7	5	1	1	0013A20041085D7D	1	0
134	7	6	1	1	0013A20041085D7D	1	0
135	7	7	1	1	0013A20041085D89	1	0
136	7	8	1	1	0013A20041085D89	1	0
137	7	9	1	1	0013A20041085B4F	1	0
138	7	10	1	1	0013A20041085B4F	1	0
139	7	11	1	1	0013A20041085DEB	1	0
140	7	12	1	1	0013A20041085DEB	1	0
141	7	13	1	1	0013A20041085DEA	1	0
142	7	14	1	1	0013A20041085DEA	1	0
143	7	15	1	1	0013A20041085E0E	1	0
144	7	16	1	1	0013A20041085E0E	1	0
145	7	1	2	1	0013A20041085DE2	1	0
146	7	2	2	1	0013A20041085DE2	1	0
147	7	3	2	1	0013A20041085DDF	1	0
148	7	4	2	1	0013A20041085DDF	1	0
149	7	5	2	1	0013A20041085E12	1	0
150	7	6	2	1	0013A20041085E12	1	0
151	7	7	2	1	0013A20041085DE0	1	0
152	7	8	2	1	0013A20041085DE0	1	0
153	7	9	2	1	0013A20041085DE1	1	0
154	7	10	2	1	0013A20041085DE1	1	0
155	7	11	2	1	0013A20041085DE8	1	0
156	7	12	2	1	0013A20041085DE8	1	0
157	7	13	2	1	0013A20041085DE5	1	0
158	7	14	2	1	0013A20041085DE5	1	0
159	7	15	2	1	0013A20041085DE9	1	0
160	7	16	2	1	0013A20041085DE9	1	0
161	8	1	1	1	0013A20041085DE7	1	0
162	8	2	1	1	0013A20041085DE7	1	0
163	8	3	1	1	0013A20041085DF0	1	0
164	8	4	1	1	0013A20041085DF0	1	0
165	8	5	1	1	0013A20041085DEC	1	0
166	8	6	1	1	0013A20041085DEC	1	0
167	8	7	1	1	0013A20041085DED	1	0
168	8	8	1	1	0013A20041085DED	1	0
169	8	9	1	1	0013A20041085DEF	1	0
170	8	10	1	1	0013A20041085DEF	1	0
171	8	11	1	1	0013A20041085DE6	1	0
172	8	12	1	1	0013A20041085DE6	1	0
173	8	13	1	1	0013A20041085DEE	1	0
174	8	14	1	1	0013A20041085DEE	1	0
175	8	15	1	1	0013A20041085DF1	1	0
176	8	16	1	1	0013A20041085DF1	1	0
177	8	1	2	1	0013A20041085DF4	1	0
178	8	2	2	1	0013A20041085DF4	1	0
179	8	3	2	1	0013A20041085E0A	1	0
180	8	4	2	1	0013A20041085E0A	1	0
181	8	5	2	1	0013A20041085DF5	1	0
182	8	6	2	1	0013A20041085DF5	1	0
183	8	7	2	1	0013A20041085DF2	1	0
184	8	8	2	1	0013A20041085DF2	1	0
185	8	9	2	1	0013A20041085DF3	1	0
186	8	10	2	1	0013A20041085DF3	1	0
187	8	11	2	1	0013A20041085B51	1	0
188	8	12	2	1	0013A20041085B51	1	0
189	8	13	2	1	0013A20041085B90	1	0
190	8	14	2	1	0013A20041085B90	1	0
191	8	15	2	1	0013A20041085B48	1	0
192	8	16	2	1	0013A20041085B48	1	0
193	13	1	1	1	0013A200415174B6	1	0
194	13	2	1	1	0013A200415174B6	1	0
195	13	3	1	1	0013A200415174B1	1	0
196	13	4	1	1	0013A200415174B1	1	0
197	13	5	1	1	0013A200415174A6	1	0
