Xbee	어레이아이디	x	y	dc path	Serial	Coordi	Index
4137	124	1	1		0013A2004175340E	10	0
4138	124	2	1		0013A2004175340E	10	0
4139	124	3	1		0013A20041753404	10	0
4140	124	4	1		0013A20041753404	10	0
4141	124	5	1		0013A2004175341B	10	0
4142	124	6	1		0013A2004175341B	10	0
4143	124	7	1		0013A20041753401	10	0
4144	124	8	1		0013A20041753401	10	0
4145	124	9	1		0013A20041753421	10	0
4146	124	10	1		0013A20041753421	10	0
4147	124	11	1		0013A2004151E010	10	0
4148	124	12	1		0013A2004151E010	10	0
4149	124	13	1		0013A200417533E6	10	0
4150	124	14	1		0013A200417533E6	10	0
4151	124	15	1		0013A2004175342B	10	0
4152	124	16	1		0013A2004175342B	10	0
4153	124	1	2		0013A2004175342D	10	0
4154	124	2	2		0013A2004175342D	10	0
4155	124	3	2		0013A20041753419	10	0
4156	124	4	2		0013A20041753419	10	0
4157	124	5	2		0013A20041753431	10	0
4158	124	6	2		0013A20041753431	10	0
4159	124	7	2		0013A2004175340C	10	0
4160	124	8	2		0013A2004175340C	10	0
4161	124	9	2		0013A20041753426	10	0
4162	124	10	2		0013A20041753426	10	0
4163	124	11	2		0013A2004175340A	10	0
4164	124	12	2		0013A2004175340A	10	0
4165	124	13	2		0013A20041753400	10	0
4166	124	14	2		0013A20041753400	10	0
4167	124	15	2		0013A20041753425	10	0
4168	124	16	2		0013A20041753425	10	0
4169	125	1	1		0013A2004151E04A	10	0
4170	125	2	1		0013A2004151E04A	10	0
4171	125	3	1		0013A2004151E044	10	0
4172	125	4	1		0013A2004151E044	10	0
4173	125	5	1		0013A2004151E043	10	0
4174	125	6	1		0013A2004151E043	10	0
4175	125	7	1		0013A200417534EA	10	0
4176	125	8	1		0013A200417534EA	10	0
4177	125	9	1		0013A200417534E9	10	0
4178	125	10	1		0013A200417534E9	10	0
4179	125	11	1		0013A2004151E047	10	0
4180	125	12	1		0013A2004151E047	10	0
4181	125	13	1		0013A2004151E046	10	0
4182	125	14	1		0013A2004151E046	10	0
4183	125	15	1		0013A2004151E04B	10	0
4184	125	16	1		0013A2004151E04B	10	0
4185	125	1	2		0013A2004151E034	10	0
4186	125	2	2		0013A2004151E034	10	0
4187	125	3	2		0013A2004151E04E	10	0
4188	125	4	2		0013A2004151E04E	10	0
4189	125	5	2		0013A2004151E038	10	0
4190	125	6	2		0013A2004151E038	10	0
4191	125	7	2		0013A2004151E031	10	0
4192	125	8	2		0013A2004151E031	10	0
4193	125	9	2		0013A2004151E03C	10	0
4194	125	10	2		0013A2004151E03C	10	0
4195	125	11	2		0013A20041099BE8	10	0
4196	125	12	2		0013A20041099BE8	10	0
4197	125	13	2		0013A2004151E04C	10	0
4198	125	14	2		0013A2004151E04C	10	0
4199	125	15	2		0013A2004151E040	10	0
4200	125	16	2		0013A2004151E040	10	0
4201	129	1	1		0013A20041099BDC	10	0
4202	129	2	1		0013A20041099BDC	10	0
4203	129	3	1		0013A20041099BE7	10	0
4204	129	4	1		0013A20041099BE7	10	0
4205	129	5	1		0013A20041099BE4	10	0
4206	129	6	1		0013A20041099BE4	10	0
4207	129	7	1		0013A20041099BE0	10	0
4208	129	8	1		0013A20041099BE0	10	0
4209	129	9	1		0013A20041099BF3	10	0
4210	129	10	1		0013A20041099BF3	10	0
4211	129	11	1		0013A20041099BF4	10	0
4212	129	12	1		0013A20041099BF4	10	0
4213	129	13	1		0013A2004151E077	10	0
4214	129	14	1		0013A2004151E077	10	0
4215	129	15	1		0013A20041099BF5	10	0
4216	129	16	1		0013A20041099BF5	10	0
4217	129	1	2		0013A20041099BED	10	0
4218	129	2	2		0013A20041099BED	10	0
4219	129	3	2		0013A20041099BEB	10	0
4220	129	4	2		0013A20041099BEB	10	0
4221	129	5	2		0013A20041099BF2	10	0
4222	129	6	2		0013A20041099BF2	10	0
4223	129	7	2		0013A20041099BEE	10	0
4224	129	8	2		0013A20041099BEE	10	0
4225	129	9	2		0013A20041099BEA	10	0
4226	129	10	2		0013A20041099BEA	10	0
4227	129	11	2		0013A20041099BFB	10	0
4228	129	12	2		0013A20041099BFB	10	0
4229	129	13	2		0013A20041099C03	10	0
4230	129	14	2		0013A20041099C03	10	0
4231	129	15	2		0013A20041099BF1	10	0
4232	129	16	2		0013A20041099BF1	10	0
4233	130	1	1		0013A20041099BF9	10	0
4234	130	2	1		0013A20041099BF9	10	0
4235	130	3	1		0013A20041099BF0	10	0
4236	130	4	1		0013A20041099BF0	10	0
4237	130	5	1		0013A20041099BF7	10	0
4238	130	6	1		0013A20041099BF7	10	0
4239	130	7	1		0013A2004151E06B	10	0
4240	130	8	1		0013A2004151E06B	10	0
4241	130	9	1		0013A20041099BFF	10	0
4242	130	10	1		0013A20041099BFF	10	0
4243	130	11	1		0013A20041099C04	10	0
4244	130	12	1		0013A20041099C04	10	0
4245	130	13	1		0013A20041099BE9	10	0
4246	130	14	1		0013A20041099BE9	10	0
4247	130	15	1		0013A20041099BFD	10	0
4248	130	16	1		0013A20041099BFD	10	0
4249	130	1	2		0013A20041099C02	10	0
4250	130	2	2		0013A20041099C02	10	0
4251	130	3	2		0013A20041099C01	10	0
4252	130	4	2		0013A20041099C01	10	0
4253	130	5	2		0013A20041099C00	10	0
4254	130	6	2		0013A20041099C00	10	0
4255	130	7	2		0013A20041099BFE	10	0
4256	130	8	2		0013A20041099BFE	10	0
4257	130	9	2		0013A20041099BFC	10	0
4258	130	10	2		0013A20041099BFC	10	0
4259	130	11	2		0013A2004151E06F	10	0
4260	130	12	2		0013A2004151E06F	10	0
4261	130	13	2		0013A2004151E06A	10	0
4262	130	14	2		0013A2004151E06A	10	0
4263	130	15	2		0013A2004151E053	10	0
4264	130	16	2		0013A2004151E053	10	0
4265	134	1	1		0013A2004151E4F3	10	0
4266	134	2	1		0013A2004151E4F3	10	0
4267	134	3	1		0013A2004151E4E5	10	0
4268	134	4	1		0013A2004151E4E5	10	0
4269	134	5	1		0013A2004151E506	10	0
4270	134	6	1		0013A2004151E506	10	0
4271	134	7	1		0013A2004151E505	10	0
4272	134	8	1		0013A2004151E505	10	0
4273	134	9	1		0013A2004151E4E8	10	0
4274	134	10	1		0013A2004151E4E8	10	0
4275	134	11	1		0013A2004151E4E1	10	0
4276	134	12	1		0013A2004151E4E1	10	0
4277	134	13	1		0013A2004151E4F4	10	0
4278	134	14	1		0013A2004151E4F4	10	0
4279	134	15	1		0013A2004151E4E4	10	0
4280	134	16	1		0013A2004151E4E4	10	0
4281	134	1	2		0013A2004151E4D5	10	0
4282	134	2	2		0013A2004151E4D5	10	0
4283	134	3	2		0013A2004151E4DF	10	0
4284	134	4	2		0013A2004151E4DF	10	0
4285	134	5	2		0013A2004151E4DA	10	0
4286	134	6	2		0013A2004151E4DA	10	0
4287	134	7	2		0013A2004151E4D9	10	0
4288	134	8	2		0013A2004151E4D9	10	0
4289	134	9	2		0013A2004151E4D8	10	0
4290	134	10	2		0013A2004151E4D8	10	0
4291	134	11	2		0013A2005262E5DD	10	0
4292	134	12	2		0013A2005262E5DD	10	0
4293	134	13	2		0013A20041099FEB	10	0
4294	134	14	2		0013A20041099FEB	10	0
4295	134	15	2		0013A20041099FF2	10	0
4296	134	16	2		0013A20041099FF2	10	0
4297	135	1	1		0013A2004151E4EB	10	0
4298	135	2	1		0013A2004151E4EB	10	0
4299	135	3	1		0013A2004151E4F0	10	0
4300	135	4	1		0013A2004151E4F0	10	0
4301	135	5	1		0013A2004151E4E9	10	0
4302	135	6	1		0013A2004151E4E9	10	0
4303	135	7	1		0013A20041099FF7	10	0
4304	135	8	1		0013A20041099FF7	10	0
4305	135	9	1		0013A2004109A001	10	0
4306	135	10	1		0013A2004109A001	10	0
4307	135	11	1		0013A20041099FF6	10	0
4308	135	12	1		0013A20041099FF6	10	0
4309	135	13	1		0013A20041099FE7	10	0
4310	135	14	1		0013A20041099FE7	10	0
4311	135	15	1		0013A20041099FEC	10	0
4312	135	16	1		0013A20041099FEC	10	0
4313	135	1	2		0013A20041099FF5	10	0
4314	135	2	2		0013A20041099FF5	10	0
4315	135	3	2		0013A20041099FEA	10	0
4316	135	4	2		0013A20041099FEA	10	0
4317	135	5	2		0013A20041099FED	10	0
4318	135	6	2		0013A20041099FED	10	0
4319	135	7	2		0013A20041099FE9	10	0
4320	135	8	2		0013A20041099FE9	10	0
4321	135	9	2		0013A20041099FEE	10	0
4322	135	10	2		0013A20041099FEE	10	0
4323	135	11	2		0013A2004151E4CB	10	0
4324	135	12	2		0013A2004151E4CB	10	0
4325	135	13	2		0013A2004151E4C6	10	0
4326	135	14	2		0013A2004151E4C6	10	0
4327	135	15	2		0013A20041099FE8	10	0
4328	135	16	2		0013A20041099FE8	10	0
4329	140	1	1		0013A2004151E39D	10	0
4330	140	2	1		0013A2004151E39D	10	0
4331	140	3	1		0013A2004151E3AC	10	0
4332	140	4	1		0013A2004151E3AC	10	0
4333	140	5	1		0013A2004151E423	10	0
4334	140	6	1		0013A2004151E423	10	0
4335	140	7	1		0013A2004151E3A2	10	0
4336	140	8	1		0013A2004151E3A2	10	0
4337	140	9	1		0013A2004151E420	10	0
4338	140	10	1		0013A2004151E420	10	0
4339	140	11	1		0013A2004151E3AE	10	0
4340	140	12	1		0013A2004151E3AE	10	0
4341	140	13	1		0013A2004151E3B1	10	0
4342	140	14	1		0013A2004151E3B1	10	0
4343	140	15	1		0013A2004151E3AD	10	0
4344	140	16	1		0013A2004151E3AD	10	0
4345	140	1	2		0013A2004151E41C	10	0
4346	140	2	2		0013A2004151E41C	10	0
4347	140	3	2		0013A2004151E3B0	10	0
4348	140	4	2		0013A2004151E3B0	10	0
4349	140	5	2		0013A2004151E3AA	10	0
4350	140	6	2		0013A2004151E3AA	10	0
4351	140	7	2		0013A2004151E433	10	0
4352	140	8	2		0013A2004151E433	10	0
4353	140	9	2		0013A2004151E434	10	0
4354	140	10	2		0013A2004151E434	10	0
4355	140	11	2		0013A2004151E42F	10	0
4356	140	12	2		0013A2004151E42F	10	0
4357	140	13	2		0013A2004151E3B2	10	0
4358	140	14	2		0013A2004151E3B2	10	0
4359	140	15	2		0013A2004151E3AB	10	0
4360	140	16	2		0013A2004151E3AB	10	0
4361	141	1	1		0013A2004151E426	10	0
4362	141	2	1		0013A2004151E426	10	0
4363	141	3	1		0013A2004151E431	10	0
4364	141	4	1		0013A2004151E431	10	0
4365	141	5	1		0013A2004151E43E	10	0
4366	141	6	1		0013A2004151E43E	10	0
4367	141	7	1		0013A2004151E41F	10	0
4368	141	8	1		0013A2004151E41F	10	0
4369	141	9	1		0013A2004151E437	10	0
4370	141	10	1		0013A2004151E437	10	0
4371	141	11	1		0013A2004151E492	10	0
4372	141	12	1		0013A2004151E492	10	0
4373	141	13	1		0013A2004151E42D	10	0
4374	141	14	1		0013A2004151E42D	10	0
4375	141	15	1		0013A2004151E422	10	0
4376	141	16	1		0013A2004151E422	10	0
4377	141	1	2		0013A2004151E430	10	0
4378	141	2	2		0013A2004151E430	10	0
4379	141	3	2		0013A2004151E429	10	0
4380	141	4	2		0013A2004151E429	10	0
4381	141	5	2		0013A20041099FD9	10	0
4382	141	6	2		0013A20041099FD9	10	0
4383	141	7	2		0013A20041099FD8	10	0
4384	141	8	2		0013A20041099FD8	10	0
4385	141	9	2		0013A20041099FDD	10	0
4386	141	10	2		0013A20041099FDD	10	0
4387	141	11	2		0013A200417538FD	10	0
4388	141	12	2		0013A200417538FD	10	0
4389	141	13	2		0013A20041099FDA	10	0
4390	141	14	2		0013A20041099FDA	10	0
4391	141	15	2		0013A20041099FDC	10	0
4392	141	16	2		0013A20041099FDC	10	0
4393	145	1	1		0013A2004151E50A	10	0
4394	145	2	1		0013A2004151E50A	10	0
4395	145	3	1		0013A2004151E507	10	0
4396	145	4	1		0013A2004151E507	10	0
4397	145	5	1		0013A2004151E4FB	10	0
4398	145	6	1		0013A2004151E4FB	10	0
4399	145	7	1		0013A2004151E510	10	0
4400	145	8	1		0013A2004151E510	10	0
4401	145	9	1		0013A2004151E4F9	10	0
4402	145	10	1		0013A2004151E4F9	10	0
4403	145	11	1		0013A2004151D502	10	0
4404	145	12	1		0013A2004151D502	10	0
4405	145	13	1		0013A2004151E51D	10	0
4406	145	14	1		0013A2004151E51D	10	0
4407	145	15	1		0013A2004151E4BD	10	0
4408	145	16	1		0013A2004151E4BD	10	0
4409	145	1	2		0013A2004151E51B	10	0
4410	145	2	2		0013A2004151E51B	10	0
4411	145	3	2		0013A2004151E4FF	10	0
4412	145	4	2		0013A2004151E4FF	10	0
4413	145	5	2		0013A2004151E4D7	10	0
4414	145	6	2		0013A2004151E4D7	10	0
4415	145	7	2		0013A2004151E4C3	10	0
4416	145	8	2		0013A2004151E4C3	10	0
4417	145	9	2		0013A2004151E50B	10	0
4418	145	10	2		0013A2004151E50B	10	0
4419	145	11	2		0013A2004151E4BE	10	0
4420	145	12	2		0013A2004151E4BE	10	0
4421	145	13	2		0013A2004151E504	10	0
4422	145	14	2		0013A2004151E504	10	0
4423	145	15	2		0013A2004151E501	10	0
4424	145	16	2		0013A2004151E501	10	0
4425	146	1	1		0013A2004151E50C	10	0
4426	146	2	1		0013A2004151E50C	10	0
4427	146	3	1		0013A2004151E4EF	10	0
4428	146	4	1		0013A2004151E4EF	10	0
4429	146	5	1		0013A2004151E4FC	10	0
4430	146	6	1		0013A2004151E4FC	10	0
4431	146	7	1		0013A200417BC862	10	0
4432	146	8	1		0013A200417BC862	10	0
4433	146	9	1		0013A2004151E4BC	10	0
4434	146	10	1		0013A2004151E4BC	10	0
4435	146	11	1		0013A200417537DD	10	0
4436	146	12	1		0013A200417537DD	10	0
4437	146	13	1		0013A200417537CF	10	0
4438	146	14	1		0013A200417537CF	10	0
4439	146	15	1		0013A200417537CC	10	0
4440	146	16	1		0013A200417537CC	10	0
4441	146	1	2		0013A200417537D7	10	0
4442	146	2	2		0013A200417537D7	10	0
4443	146	3	2		0013A200417537D8	10	0
4444	146	4	2		0013A200417537D8	10	0
4445	146	5	2		0013A2004151E388	10	0
4446	146	6	2		0013A2004151E388	10	0
4447	146	7	2		0013A200417537E2	10	0
4448	146	8	2		0013A200417537E2	10	0
4449	146	9	2		0013A200417537D0	10	0
4450	146	10	2		0013A200417537D0	10	0
4451	146	11	2		0013A200417537D9	10	0
4452	146	12	2		0013A200417537D9	10	0
4453	146	13	2		0013A200417537E1	10	0
4454	146	14	2		0013A200417537E1	10	0
4455	146	15	2		0013A200417537DF	10	0
4456	146	16	2		0013A200417537DF	10	0
4457	147	1	1		0013A200417537E6	10	0
4458	147	2	1		0013A200417537E6	10	0
4459	147	3	1		0013A200417537E8	10	0
4460	147	4	1		0013A200417537E8	10	0
4461	147	5	1		0013A200417537EE	10	0
4462	147	6	1		0013A200417537EE	10	0
4463	147	7	1		0013A200417537E9	10	0
4464	147	8	1		0013A200417537E9	10	0
4465	147	9	1		0013A200417537E5	10	0
4466	147	10	1		0013A200417537E5	10	0
4467	147	11	1		0013A200417537E3	10	0
4468	147	12	1		0013A200417537E3	10	0
4469	147	13	1		0013A200417537EA	10	0
4470	147	14	1		0013A200417537EA	10	0
4471	147	15	1		0013A2004151E38D	10	0
4472	147	16	1		0013A2004151E38D	10	0
4473	147	1	2		0013A200417537DB	10	0
4474	147	2	2		0013A200417537DB	10	0
4475	147	3	2		0013A2004151E515	10	0
4476	147	4	2		0013A2004151E515	10	0
4477	147	5	2		0013A2004151E513	10	0
4478	147	6	2		0013A2004151E513	10	0
4479	147	7	2		0013A2004151E51E	10	0
4480	147	8	2		0013A2004151E51E	10	0
4481	147	9	2		0013A2004151E517	10	0
4482	147	10	2		0013A2004151E517	10	0
4483	147	11	2		0013A2004151E512	10	0
4484	147	12	2		0013A2004151E512	10	0
4485	147	13	2		0013A20041099C69	10	0
4486	147	14	2		0013A20041099C69	10	0
4487	147	15	2		0013A20041099C6C	10	0
4488	147	16	2		0013A20041099C6C	10	0
